R,G,B,a1,a2,a3
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,39,1,0,1
255,0,14,1,0,1
255,0,11,1,0,1
255,0,66,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,1,0,1
255,0,0,0,1,1
255,0,255,0,1,1
0,242,203,0,1,1
0,255,202,0,1,1
0,255,228,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,223,0,1,1
0,255,229,0,1,1
0,255,207,0,1,1
0,255,227,0,1,1
0,255,232,0,1,1
0,210,239,0,1,1
0,255,227,0,1,1
0,255,229,0,1,1
0,210,239,0,1,1
0,255,220,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,223,0,1,1
0,250,222,0,1,1
0,255,220,0,1,1
0,255,227,0,1,1
0,255,220,0,1,1
0,255,227,0,1,1
0,255,230,0,1,1
0,250,222,0,1,1
0,255,227,0,1,1
0,255,223,0,1,1
0,255,220,0,1,1
0,201,241,0,1,1
0,255,227,0,1,1
0,255,229,0,1,1
0,255,227,0,1,1
0,255,228,0,1,1
0,255,231,0,1,1
0,255,228,0,1,1
0,255,220,0,1,1
0,255,227,0,1,1
0,250,222,0,1,1
0,234,185,0,1,1
0,255,229,0,1,1
0,255,220,0,1,1
0,209,235,0,1,1
0,255,223,0,1,1
0,250,222,0,1,1
0,255,223,0,1,1
0,233,181,0,1,1
0,255,223,0,1,1
0,255,229,0,1,1
0,255,227,0,1,1
0,255,227,0,1,1
0,255,229,0,1,1
0,255,227,0,1,1
0,255,229,0,1,1
0,255,229,0,1,1
107,255,3,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
29,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,238,255,0,1,1
0,255,255,0,1,1
0,255,227,0,1,1
0,255,230,0,1,1
0,255,229,0,1,1
0,255,227,0,1,1
0,210,239,0,1,1
0,255,227,0,1,1
0,255,230,0,1,1
0,255,223,0,1,1
0,255,229,0,1,1
0,255,230,0,1,1
0,255,229,0,1,1
0,209,235,0,1,1
0,255,223,0,1,1
0,255,230,0,1,1
0,250,222,0,1,1
0,255,223,0,1,1
0,255,230,0,1,1
0,250,222,0,1,1
0,250,222,0,1,1
0,241,224,0,1,1
0,255,192,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,240,0,1,1
0,255,238,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,213,0,1,1
0,255,251,0,1,1
0,255,249,0,1,1
0,233,255,0,1,1
0,255,253,0,1,1
0,255,255,0,1,1
0,255,249,0,1,1
0,255,251,0,1,1
0,255,255,0,1,1
0,255,253,0,1,1
0,255,250,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,246,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,244,255,0,1,1
0,255,254,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,254,189,0,1,1
0,251,215,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,248,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,220,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,0,1,1
0,255,255,1,1,1
0,255,220,1,1,1
0,255,255,1,1,1
51,255,74,1,1,1
0,246,122,1,1,1
0,125,93,1,1,1
0,147,19,1,1,1
3,147,7,1,1,1
2,158,13,1,1,1
5,149,15,1,1,1
2,158,13,1,1,1
5,149,15,1,1,1
2,158,13,1,1,1
2,158,13,1,1,1
2,158,13,1,1,1
2,158,13,1,1,1
5,149,15,1,1,1
5,149,15,1,1,1
5,149,15,1,1,1
2,158,13,1,1,1
5,149,15,1,1,1
5,149,15,1,1,1
