N,tiempo
100,0.00009
200,0.00036
300,0.00081
400,0.00144
500,0.00225
600,0.00324
700,0.00441
800,0.00576
900,0.00729
1000,0.00900
1100,0.01089
1200,0.01297
1300,0.01522
1400,0.01765
1500,0.02026
1600,0.02305
1700,0.02602
1800,0.02917
1900,0.03250
2000,0.03602
2100,0.03971
2200,0.04358
2300,0.04763
2400,0.05186
2500,0.05627
2600,0.06087
2700,0.06564
2800,0.07059
2900,0.07572
3000,0.08103
3100,0.08653
3200,0.09220
3300,0.09805
3400,0.10408
3500,0.11030
3600,0.11669
3700,0.12326
3800,0.13001
3900,0.13695
4000,0.14406
4100,0.15135
4200,0.15883
4300,0.16648
4400,0.17431
4500,0.18233
4600,0.19052
4700,0.19889
4800,0.20745
4900,0.21618
5000,0.22509
5100,0.23419
5200,0.24346
5300,0.25292
5400,0.26255
5500,0.27236
5600,0.28236
5700,0.29253
5800,0.30289
5900,0.31342
6000,0.32414
6100,0.33503
6200,0.34610
6300,0.35736
6400,0.36879
6500,0.38041
6600,0.39220
6700,0.40418
6800,0.41633
6900,0.42867
7000,0.44118
7100,0.45388
7200,0.46675
7300,0.47981
7400,0.49305
7500,0.50646
7600,0.52006
7700,0.53383
7800,0.54779
7900,0.56192
8000,0.57624
8100,0.59074
8200,0.60541
8300,0.62027
8400,0.63530
8500,0.65052
8600,0.66592
8700,0.68149
8800,0.69725
8900,0.71319
9000,0.72930
9100,0.74560
9200,0.76208
9300,0.77873
9400,0.79557
9500,0.81259
9600,0.82979
9700,0.84716
9800,0.86472
9900,0.88246
10000,0.90038
10100,0.91847
10200,0.93675
10300,0.95521
10400,0.97385
10500,0.99266
10600,1.01166
10700,1.03084
10800,1.05020
10900,1.06974
11000,1.08945
11100,1.10935
11200,1.12943
11300,1.14969
11400,1.17013
11500,1.19075
11600,1.21154
11700,1.23252
11800,1.25368
11900,1.27502
12000,1.29654
12100,1.31824
12200,1.34012
12300,1.36218
12400,1.38442
12500,1.40684
12600,1.42944
12700,1.45221
12800,1.47517
12900,1.49831
13000,1.52163
13100,1.54513
13200,1.56881
13300,1.59267
13400,1.61671
13500,1.64093
13600,1.66533
13700,1.68991
13800,1.71467
13900,1.73961
14000,1.76474
14100,1.79004
14200,1.81552
14300,1.84118
14400,1.86702
14500,1.89304
14600,1.91924
14700,1.94562
14800,1.97218
14900,1.99892
15000,2.02584
15100,2.05295
15200,2.08023
15300,2.10769
15400,2.13533
15500,2.16315
15600,2.19115
15700,2.21933
15800,2.24770
15900,2.27624
16000,2.30496
16100,2.33386
16200,2.36294
16300,2.39221
16400,2.42165
16500,2.45127
16600,2.48107
16700,2.51106
16800,2.54122
16900,2.57156
17000,2.60208
17100,2.63279
17200,2.66367
17300,2.69473
17400,2.72598
17500,2.75740
17600,2.78900
17700,2.82078
17800,2.85275
17900,2.88489
18000,2.91722
18100,2.94972
18200,2.98240
18300,3.01527
18400,3.04831
18500,3.08153
18600,3.11494
18700,3.14852
18800,3.18229
18900,3.21623
19000,3.25035
19100,3.28466
19200,3.31914
19300,3.35381
19400,3.38865
19500,3.42368
19600,3.45888
19700,3.49427
19800,3.52983
19900,3.56558
20000,3.60150
20100,3.63761
20200,3.67389
20300,3.71036
20400,3.74700
20500,3.78383
20600,3.82083
20700,3.85802
20800,3.89538
20900,3.93293
21000,3.97065
21100,4.00856
21200,4.04665
21300,4.08491
21400,4.12336
21500,4.16198
21600,4.20079
21700,4.23978
21800,4.27894
21900,4.31829
22000,4.35782
22100,4.39752
22200,4.43741
22300,4.47747
22400,4.51772
22500,4.55815
22600,4.59876
22700,4.63954
22800,4.68051
22900,4.72166
23000,4.76298
23100,4.80449
23200,4.84618
23300,4.88805
23400,4.93009
23500,4.97232
23600,5.01473
23700,5.05732
23800,5.10008
23900,5.14303
24000,5.18616
24100,5.22947
24200,5.27296
24300,5.31662
24400,5.36047
24500,5.40450
24600,5.44871
24700,5.49310
24800,5.53767
24900,5.58242
25000,5.62734
25100,5.67245
25200,5.71774
25300,5.76321
25400,5.80886
25500,5.85469
25600,5.90070
25700,5.94689
25800,5.99326
25900,6.03981
26000,6.08654
26100,6.13344
26200,6.18053
26300,6.22780
26400,6.27525
26500,6.32288
26600,6.37069
26700,6.41868
26800,6.46685
26900,6.51520
27000,6.56373
27100,6.61244
27200,6.66133
27300,6.71040
27400,6.75966
27500,6.80909
27600,6.85870
27700,6.90849
27800,6.95846
27900,7.00861
28000,7.05894
28100,7.10945
28200,7.16014
28300,7.21101
28400,7.26206
28500,7.31330
28600,7.36471
28700,7.41630
28800,7.46807
28900,7.52002
29000,7.57215
29100,7.62447
29200,7.67696
29300,7.72963
29400,7.78248
29500,7.83551
29600,7.88873
29700,7.94212
29800,7.99569
29900,8.04944
30000,8.10337
30100,8.15749
30200,8.21178
30300,8.26625
30400,8.32091
30500,8.37574
30600,8.43075
30700,8.48594
30800,8.54132
30900,8.59687
31000,8.65260
31100,8.70852
31200,8.76461
31300,8.82088
31400,8.87734
31500,8.93397
31600,8.99078
31700,9.04778
31800,9.10495
31900,9.16231
32000,9.21984
32100,9.27755
32200,9.33545
32300,9.39352
32400,9.45178
32500,9.51021
32600,9.56883
32700,9.62762
32800,9.68659
32900,9.74575
33000,9.80508
33100,9.86460
33200,9.92429
33300,9.98417
33400,10.04422
33500,10.10446
33600,10.16487
33700,10.22547
33800,10.28624
33900,10.34720
34000,10.40834
34100,10.46965
34200,10.53115
34300,10.59282
34400,10.65468
34500,10.71671
34600,10.77893
34700,10.84133
34800,10.90390
34900,10.96666
35000,11.02959
35100,11.09271
35200,11.15601
35300,11.21948
35400,11.28314
35500,11.34698
35600,11.41099
35700,11.47519
35800,11.53957
35900,11.60412
36000,11.66886
36100,11.73378
36200,11.79887
36300,11.86415
36400,11.92961
36500,11.99525
36600,12.06106
36700,12.12706
36800,12.19324
36900,12.25960
37000,12.32613
37100,12.39285
37200,12.45975
37300,12.52683
37400,12.59409
37500,12.66152
37600,12.72914
37700,12.79694
37800,12.86492
37900,12.93308
38000,13.00142
38100,13.06993
38200,13.13863
38300,13.20751
38400,13.27657
38500,13.34581
38600,13.41523
38700,13.48483
38800,13.55461
38900,13.62456
39000,13.69470
39100,13.76502
39200,13.83552
39300,13.90620
39400,13.97706
39500,14.04810
39600,14.11932
39700,14.19072
39800,14.26230
39900,14.33406
40000,14.40600
40100,14.47812
40200,14.55042
40300,14.62290
40400,14.69556
40500,14.76840
40600,14.84142
40700,14.91462
40800,14.98800
40900,15.06156
41000,15.13530
41100,15.20922
41200,15.28333
41300,15.35761
41400,15.43207
41500,15.50671
41600,15.58153
41700,15.65653
41800,15.73171
41900,15.80707
42000,15.88262
42100,15.95834
42200,16.03424
42300,16.11032
42400,16.18658
42500,16.26302
42600,16.33965
42700,16.41645
42800,16.49343
42900,16.57059
43000,16.64793
43100,16.72546
43200,16.80316
43300,16.88104
43400,16.95910
43500,17.03735
43600,17.11577
43700,17.19437
43800,17.27315
43900,17.35212
44000,17.43126
44100,17.51058
44200,17.59009
44300,17.66977
44400,17.74963
44500,17.82968
44600,17.90990
44700,17.99030
44800,18.07089
44900,18.15165
45000,18.23259
45100,18.31372
45200,18.39502
45300,18.47651
45400,18.55817
45500,18.64001
45600,18.72204
45700,18.80424
45800,18.88663
45900,18.96919
46000,19.05194
46100,19.13486
46200,19.21796
46300,19.30125
46400,19.38471
46500,19.46836
46600,19.55218
46700,19.63619
46800,19.72037
46900,19.80474
47000,19.88928
47100,19.97401
47200,20.05891
47300,20.14400
47400,20.22927
47500,20.31471
47600,20.40034
47700,20.48614
47800,20.57213
47900,20.65829
48000,20.74464
48100,20.83117
48200,20.91787
48300,21.00476
48400,21.09182
48500,21.17907
48600,21.26650
48700,21.35410
48800,21.44189
48900,21.52986
49000,21.61800
49100,21.70633
49200,21.79484
49300,21.88352
49400,21.97239
49500,22.06144
49600,22.15067
49700,22.24007
49800,22.32966
49900,22.41943
50000,22.50938
50100,22.59950
50200,22.68981
50300,22.78030
50400,22.87097
50500,22.96181
50600,23.05284
50700,23.14405
50800,23.23544
50900,23.32701
51000,23.41875
51100,23.51068
51200,23.60279
51300,23.69508
51400,23.78755
51500,23.88020
51600,23.97302
51700,24.06603
51800,24.15922
51900,24.25259
52000,24.34614
52100,24.43987
52200,24.53378
52300,24.62787
52400,24.72214
52500,24.81659
52600,24.91122
52700,25.00602
52800,25.10101
52900,25.19618
53000,25.29153
53100,25.38706
53200,25.48277
53300,25.57866
53400,25.67473
53500,25.77098
53600,25.86741
53700,25.96402
53800,26.06081
53900,26.15778
54000,26.25494
54100,26.35227
54200,26.44978
54300,26.54747
54400,26.64534
54500,26.74339
54600,26.84162
54700,26.94003
54800,27.03862
54900,27.13739
55000,27.23634
55100,27.33548
55200,27.43479
55300,27.53428
55400,27.63395
55500,27.73380
55600,27.83383
55700,27.93404
55800,28.03444
55900,28.13501
56000,28.23576
56100,28.33669
56200,28.43780
56300,28.53910
56400,28.64057
56500,28.74222
56600,28.84405
56700,28.94607
56800,29.04826
56900,29.15063
57000,29.25318
57100,29.35592
57200,29.45883
57300,29.56192
57400,29.66520
57500,29.76865
57600,29.87228
57700,29.97609
57800,30.08009
57900,30.18426
58000,30.28862
58100,30.39315
58200,30.49786
58300,30.60276
58400,30.70783
58500,30.81308
58600,30.91852
58700,31.02413
58800,31.12993
58900,31.23590
59000,31.34205
59100,31.44839
59200,31.55490
59300,31.66160
59400,31.76847
59500,31.87553
59600,31.98276
59700,32.09018
59800,32.19777
59900,32.30555
60000,32.41350
60100,32.52164
60200,32.62995
60300,32.73845
60400,32.84712
60500,32.95598
60600,33.06501
60700,33.17423
60800,33.28362
60900,33.39320
61000,33.50295
61100,33.61289
61200,33.72301
61300,33.83330
61400,33.94378
61500,34.05443
61600,34.16527
61700,34.27629
61800,34.38748
61900,34.49886
62000,34.61042
62100,34.72215
62200,34.83407
62300,34.94616
62400,35.05844
62500,35.17090
62600,35.28354
62700,35.39635
62800,35.50935
62900,35.62253
63000,35.73588
63100,35.84942
63200,35.96314
63300,36.07704
63400,36.19111
63500,36.30537
63600,36.41981
63700,36.53443
63800,36.64922
63900,36.76420
64000,36.87936
64100,36.99470
64200,37.11022
64300,37.22591
64400,37.34179
64500,37.45785
64600,37.57409
64700,37.69051
64800,37.80711
64900,37.92389
65000,38.04084
65100,38.15798
65200,38.27530
65300,38.39280
65400,38.51048
65500,38.62834
65600,38.74638
65700,38.86460
65800,38.98300
65900,39.10158
66000,39.22034
66100,39.33927
66200,39.45839
66300,39.57769
66400,39.69717
66500,39.81683
66600,39.93667
66700,40.05669
66800,40.17689
66900,40.29727
67000,40.41783
67100,40.53857
67200,40.65949
67300,40.78059
67400,40.90188
67500,41.02334
67600,41.14498
67700,41.26680
67800,41.38880
67900,41.51098
68000,41.63334
68100,41.75588
68200,41.87860
68300,42.00150
68400,42.12458
68500,42.24785
68600,42.37129
68700,42.49491
68800,42.61871
68900,42.74269
69000,42.86685
69100,42.99120
69200,43.11572
69300,43.24042
69400,43.36530
69500,43.49036
69600,43.61561
69700,43.74103
69800,43.86663
69900,43.99241
70000,44.11838
70100,44.24452
70200,44.37084
70300,44.49734
70400,44.62403
70500,44.75089
70600,44.87793
70700,45.00515
70800,45.13256
70900,45.26014
71000,45.38790
71100,45.51585
71200,45.64397
71300,45.77227
71400,45.90076
71500,46.02942
71600,46.15826
71700,46.28729
71800,46.41649
71900,46.54588
72000,46.67544
72100,46.80518
72200,46.93511
72300,47.06521
72400,47.19550
72500,47.32596
72600,47.45661
72700,47.58743
72800,47.71843
72900,47.84962
73000,47.98098
73100,48.11253
73200,48.24425
73300,48.37616
73400,48.50824
73500,48.64051
73600,48.77295
73700,48.90558
73800,49.03838
73900,49.17137
74000,49.30454
74100,49.43788
74200,49.57141
74300,49.70511
74400,49.83900
74500,49.97306
74600,50.10731
74700,50.24174
74800,50.37634
74900,50.51113
75000,50.64609
75100,50.78124
75200,50.91657
75300,51.05207
75400,51.18776
75500,51.32363
75600,51.45967
75700,51.59590
75800,51.73231
75900,51.86889
76000,52.00566
76100,52.14261
76200,52.27973
76300,52.41704
76400,52.55453
76500,52.69220
76600,52.83004
76700,52.96807
76800,53.10628
76900,53.24467
77000,53.38323
77100,53.52198
77200,53.66091
77300,53.80002
77400,53.93931
77500,54.07877
77600,54.21842
77700,54.35825
77800,54.49826
77900,54.63845
78000,54.77882
78100,54.91936
78200,55.06009
78300,55.20100
78400,55.34209
78500,55.48336
78600,55.62481
78700,55.76644
78800,55.90825
78900,56.05023
79000,56.19240
79100,56.33475
79200,56.47728
79300,56.61999
79400,56.76288
79500,56.90595
79600,57.04920
79700,57.19263
79800,57.33624
79900,57.48003
80000,57.62400
80100,57.76815
80200,57.91248
80300,58.05699
80400,58.20168
80500,58.34655
80600,58.49160
80700,58.63683
80800,58.78224
80900,58.92783
81000,59.07360
81100,59.21955
81200,59.36569
81300,59.51200
81400,59.65849
81500,59.80516
81600,59.95201
81700,60.09904
81800,60.24625
81900,60.39364
82000,60.54122
82100,60.68897
82200,60.83690
82300,60.98501
82400,61.13330
82500,61.28177
82600,61.43043
82700,61.57926
82800,61.72827
82900,61.87746
83000,62.02683
83100,62.17639
83200,62.32612
83300,62.47603
83400,62.62612
83500,62.77640
83600,62.92685
83700,63.07748
83800,63.22829
83900,63.37929
84000,63.53046
84100,63.68181
84200,63.83335
84300,63.98506
84400,64.13695
84500,64.28903
84600,64.44128
84700,64.59371
84800,64.74633
84900,64.89912
85000,65.05209
85100,65.20525
85200,65.35858
85300,65.51210
85400,65.66579
85500,65.81966
85600,65.97372
85700,66.12795
85800,66.28237
85900,66.43696
86000,66.59174
86100,66.74669
86200,66.90182
86300,67.05714
86400,67.21263
86500,67.36831
86600,67.52416
86700,67.68020
86800,67.83641
86900,67.99281
87000,68.14938
87100,68.30614
87200,68.46307
87300,68.62019
87400,68.77749
87500,68.93496
87600,69.09262
87700,69.25045
87800,69.40847
87900,69.56666
88000,69.72504
88100,69.88360
88200,70.04233
88300,70.20125
88400,70.36034
88500,70.51962
88600,70.67908
88700,70.83871
88800,70.99853
88900,71.15853
89000,71.31870
89100,71.47906
89200,71.63960
89300,71.80031
89400,71.96121
89500,72.12229
89600,72.28355
89700,72.44498
89800,72.60660
89900,72.76840
90000,72.93038
90100,73.09253
90200,73.25487
90300,73.41739
90400,73.58009
90500,73.74296
90600,73.90602
90700,74.06926
90800,74.23268
90900,74.39628
91000,74.56005
91100,74.72401
91200,74.88815
91300,75.05247
91400,75.21697
91500,75.38165
91600,75.54650
91700,75.71154
91800,75.87676
91900,76.04216
92000,76.20774
92100,76.37350
92200,76.53944
92300,76.70556
92400,76.87186
92500,77.03834
92600,77.20500
92700,77.37183
92800,77.53885
92900,77.70605
93000,77.87343
93100,78.04099
93200,78.20873
93300,78.37665
93400,78.54475
93500,78.71303
93600,78.88149
93700,79.05013
93800,79.21895
93900,79.38795
94000,79.55714
94100,79.72650
94200,79.89604
94300,80.06576
94400,80.23566
94500,80.40574
94600,80.57600
94700,80.74644
94800,80.91706
94900,81.08786
95000,81.25884
95100,81.43001
95200,81.60135
95300,81.77287
95400,81.94457
95500,82.11645
95600,82.28851
95700,82.46075
95800,82.63318
95900,82.80578
96000,82.97856
96100,83.15152
96200,83.32466
96300,83.49799
96400,83.67149
96500,83.84517
96600,84.01903
96700,84.19308
96800,84.36730
96900,84.54170
97000,84.71628
97100,84.89105
97200,85.06599
97300,85.24111
97400,85.41642
97500,85.59190
97600,85.76756
97700,85.94340
97800,86.11943
97900,86.29563
98000,86.47202
98100,86.64858
98200,86.82532
98300,87.00225
98400,87.17935
98500,87.35663
98600,87.53410
98700,87.71174
98800,87.88957
98900,88.06757
99000,88.24575
99100,88.42412
99200,88.60266
99300,88.78139
99400,88.96029
99500,89.13938
99600,89.31864
99700,89.49809
99800,89.67771
99900,89.85752
100000,90.03750
