N,tiempo
100,0.00010
200,0.00042
300,0.00094
400,0.00168
500,0.00262
600,0.00378
700,0.00514
800,0.00671
900,0.00849
1000,0.01049
1100,0.01269
1200,0.01510
1300,0.01772
1400,0.02055
1500,0.02360
1600,0.02685
1700,0.03031
1800,0.03398
1900,0.03786
2000,0.04195
2100,0.04625
2200,0.05076
2300,0.05548
2400,0.06041
2500,0.06555
2600,0.07089
2700,0.07645
2800,0.08222
2900,0.08820
3000,0.09439
3100,0.10078
3200,0.10739
3300,0.11421
3400,0.12123
3500,0.12847
3600,0.13591
3700,0.14357
3800,0.15144
3900,0.15951
4000,0.16780
4100,0.17629
4200,0.18499
4300,0.19391
4400,0.20303
4500,0.21237
4600,0.22191
4700,0.23166
4800,0.24163
4900,0.25180
5000,0.26218
5100,0.27277
5200,0.28357
5300,0.29459
5400,0.30581
5500,0.31724
5600,0.32888
5700,0.34073
5800,0.35279
5900,0.36506
6000,0.37754
6100,0.39023
6200,0.40313
6300,0.41624
6400,0.42956
6500,0.44309
6600,0.45682
6700,0.47077
6800,0.48493
6900,0.49930
7000,0.51387
7100,0.52866
7200,0.54366
7300,0.55886
7400,0.57428
7500,0.58991
7600,0.60574
7700,0.62179
7800,0.63804
7900,0.65451
8000,0.67118
8100,0.68807
8200,0.70516
8300,0.72247
8400,0.73998
8500,0.75770
8600,0.77564
8700,0.79378
8800,0.81213
8900,0.83069
9000,0.84947
9100,0.86845
9200,0.88764
9300,0.90704
9400,0.92665
9500,0.94647
9600,0.96650
9700,0.98674
9800,1.00719
9900,1.02785
10000,1.04872
10100,1.06980
10200,1.09109
10300,1.11259
10400,1.13430
10500,1.15622
10600,1.17835
10700,1.20068
10800,1.22323
10900,1.24599
11000,1.26896
11100,1.29213
11200,1.31552
11300,1.33911
11400,1.36292
11500,1.38694
11600,1.41116
11700,1.43560
11800,1.46024
11900,1.48510
12000,1.51016
12100,1.53544
12200,1.56092
12300,1.58661
12400,1.61252
12500,1.63863
12600,1.66495
12700,1.69149
12800,1.71823
12900,1.74518
13000,1.77234
13100,1.79971
13200,1.82730
13300,1.85509
13400,1.88309
13500,1.91130
13600,1.93972
13700,1.96835
13800,1.99719
13900,2.02624
14000,2.05550
14100,2.08497
14200,2.11465
14300,2.14453
14400,2.17463
14500,2.20494
14600,2.23546
14700,2.26619
14800,2.29712
14900,2.32827
15000,2.35963
15100,2.39119
15200,2.42297
15300,2.45496
15400,2.48715
15500,2.51956
15600,2.55217
15700,2.58500
15800,2.61803
15900,2.65128
16000,2.68473
16100,2.71840
16200,2.75227
16300,2.78635
16400,2.82065
16500,2.85515
16600,2.88986
16700,2.92478
16800,2.95992
16900,2.99526
17000,3.03081
17100,3.06657
17200,3.10254
17300,3.13872
17400,3.17511
17500,3.21171
17600,3.24852
17700,3.28554
17800,3.32277
17900,3.36021
18000,3.39786
18100,3.43572
18200,3.47379
18300,3.51207
18400,3.55056
18500,3.58926
18600,3.62816
18700,3.66728
18800,3.70661
18900,3.74614
19000,3.78589
19100,3.82585
19200,3.86601
19300,3.90639
19400,3.94697
19500,3.98777
19600,4.02878
19700,4.06999
19800,4.11141
19900,4.15305
20000,4.19489
20100,4.23695
20200,4.27921
20300,4.32168
20400,4.36437
20500,4.40726
20600,4.45036
20700,4.49367
20800,4.53720
20900,4.58093
21000,4.62487
21100,4.66902
21200,4.71338
21300,4.75795
21400,4.80273
21500,4.84772
21600,4.89292
21700,4.93833
21800,4.98395
21900,5.02978
22000,5.07582
22100,5.12207
22200,5.16853
22300,5.21520
22400,5.26207
22500,5.30916
22600,5.35646
22700,5.40397
22800,5.45168
22900,5.49961
23000,5.54775
23100,5.59609
23200,5.64465
23300,5.69341
23400,5.74239
23500,5.79157
23600,5.84097
23700,5.89057
23800,5.94039
23900,5.99041
24000,6.04065
24100,6.09109
24200,6.14174
24300,6.19261
24400,6.24368
24500,6.29496
24600,6.34645
24700,6.39816
24800,6.45007
24900,6.50219
25000,6.55452
25100,6.60706
25200,6.65981
25300,6.71277
25400,6.76594
25500,6.81932
25600,6.87291
25700,6.92671
25800,6.98072
25900,7.03494
26000,7.08937
26100,7.14401
26200,7.19886
26300,7.25391
26400,7.30918
26500,7.36466
26600,7.42035
26700,7.47624
26800,7.53235
26900,7.58867
27000,7.64519
27100,7.70193
27200,7.75887
27300,7.81603
27400,7.87339
27500,7.93097
27600,7.98875
27700,8.04675
27800,8.10495
27900,8.16337
28000,8.22199
28100,8.28082
28200,8.33987
28300,8.39912
28400,8.45858
28500,8.51825
28600,8.57814
28700,8.63823
28800,8.69853
28900,8.75904
29000,8.81976
29100,8.88069
29200,8.94183
29300,9.00318
29400,9.06474
29500,9.12651
29600,9.18849
29700,9.25068
29800,9.31308
29900,9.37569
30000,9.43851
30100,9.50154
30200,9.56478
30300,9.62822
30400,9.69188
30500,9.75575
30600,9.81982
30700,9.88411
30800,9.94861
30900,10.01331
31000,10.07823
31100,10.14336
31200,10.20869
31300,10.27424
31400,10.33999
31500,10.40596
31600,10.47213
31700,10.53851
31800,10.60511
31900,10.67191
32000,10.73893
32100,10.80615
32200,10.87358
32300,10.94122
32400,11.00908
32500,11.07714
32600,11.14541
32700,11.21389
32800,11.28258
32900,11.35148
33000,11.42060
33100,11.48992
33200,11.55945
33300,11.62919
33400,11.69914
33500,11.76930
33600,11.83967
33700,11.91024
33800,11.98103
33900,12.05203
34000,12.12324
34100,12.19466
34200,12.26629
34300,12.33812
34400,12.41017
34500,12.48243
34600,12.55489
34700,12.62757
34800,12.70046
34900,12.77355
35000,12.84686
35100,12.92037
35200,12.99410
35300,13.06803
35400,13.14218
35500,13.21653
35600,13.29110
35700,13.36587
35800,13.44086
35900,13.51605
36000,13.59145
36100,13.66707
36200,13.74289
36300,13.81892
36400,13.89516
36500,13.97161
36600,14.04828
36700,14.12515
36800,14.20223
36900,14.27952
37000,14.35702
37100,14.43473
37200,14.51265
37300,14.59078
37400,14.66912
37500,14.74767
37600,14.82643
37700,14.90540
37800,14.98458
37900,15.06396
38000,15.14356
38100,15.22337
38200,15.30339
38300,15.38362
38400,15.46405
38500,15.54470
38600,15.62556
38700,15.70662
38800,15.78790
38900,15.86938
39000,15.95108
39100,16.03299
39200,16.11510
39300,16.19742
39400,16.27996
39500,16.36270
39600,16.44566
39700,16.52882
39800,16.61219
39900,16.69578
40000,16.77957
40100,16.86357
40200,16.94779
40300,17.03221
40400,17.11684
40500,17.20168
40600,17.28673
40700,17.37199
40800,17.45747
40900,17.54315
41000,17.62904
41100,17.71514
41200,17.80145
41300,17.88797
41400,17.97470
41500,18.06164
41600,18.14878
41700,18.23614
41800,18.32371
41900,18.41149
42000,18.49948
42100,18.58767
42200,18.67608
42300,18.76470
42400,18.85353
42500,18.94256
42600,19.03181
42700,19.12127
42800,19.21093
42900,19.30081
43000,19.39089
43100,19.48119
43200,19.57169
43300,19.66241
43400,19.75333
43500,19.84446
43600,19.93581
43700,20.02736
43800,20.11913
43900,20.21110
44000,20.30328
44100,20.39567
44200,20.48828
44300,20.58109
44400,20.67411
44500,20.76734
44600,20.86078
44700,20.95443
44800,21.04829
44900,21.14236
45000,21.23664
45100,21.33113
45200,21.42583
45300,21.52074
45400,21.61586
45500,21.71119
45600,21.80673
45700,21.90248
45800,21.99844
45900,22.09461
46000,22.19098
46100,22.28757
46200,22.38437
46300,22.48137
46400,22.57859
46500,22.67602
46600,22.77365
46700,22.87150
46800,22.96956
46900,23.06782
47000,23.16630
47100,23.26498
47200,23.36387
47300,23.46298
47400,23.56229
47500,23.66182
47600,23.76155
47700,23.86149
47800,23.96165
47900,24.06201
48000,24.16258
48100,24.26336
48200,24.36436
48300,24.46556
48400,24.56697
48500,24.66859
48600,24.77042
48700,24.87246
48800,24.97471
48900,25.07717
49000,25.17984
49100,25.28272
49200,25.38581
49300,25.48911
49400,25.59262
49500,25.69634
49600,25.80027
49700,25.90441
49800,26.00875
49900,26.11331
50000,26.21808
50100,26.32306
50200,26.42824
50300,26.53364
50400,26.63925
50500,26.74506
50600,26.85109
50700,26.95732
50800,27.06377
50900,27.17043
51000,27.27729
51100,27.38437
51200,27.49165
51300,27.59914
51400,27.70685
51500,27.81476
51600,27.92288
51700,28.03122
51800,28.13976
51900,28.24851
52000,28.35748
52100,28.46665
52200,28.57603
52300,28.68562
52400,28.79542
52500,28.90543
52600,29.01565
52700,29.12608
52800,29.23672
52900,29.34757
53000,29.45863
53100,29.56990
53200,29.68138
53300,29.79307
53400,29.90497
53500,30.01708
53600,30.12940
53700,30.24193
53800,30.35466
53900,30.46761
54000,30.58077
54100,30.69414
54200,30.80771
54300,30.92150
54400,31.03549
54500,31.14970
54600,31.26412
54700,31.37874
54800,31.49358
54900,31.60862
55000,31.72388
55100,31.83934
55200,31.95502
55300,32.07090
55400,32.18699
55500,32.30330
55600,32.41981
55700,32.53653
55800,32.65347
55900,32.77061
56000,32.88796
56100,33.00552
56200,33.12329
56300,33.24127
56400,33.35947
56500,33.47787
56600,33.59648
56700,33.71530
56800,33.83433
56900,33.95357
57000,34.07302
57100,34.19268
57200,34.31255
57300,34.43262
57400,34.55291
57500,34.67341
57600,34.79412
57700,34.91504
57800,35.03616
57900,35.15750
58000,35.27905
58100,35.40081
58200,35.52277
58300,35.64495
58400,35.76733
58500,35.88993
58600,36.01274
58700,36.13575
58800,36.25898
58900,36.38241
59000,36.50605
59100,36.62991
59200,36.75397
59300,36.87825
59400,37.00273
59500,37.12742
59600,37.25233
59700,37.37744
59800,37.50276
59900,37.62829
60000,37.75404
60100,37.87999
60200,38.00615
60300,38.13252
60400,38.25910
60500,38.38589
60600,38.51289
60700,38.64010
60800,38.76752
60900,38.89515
61000,39.02299
61100,39.15104
61200,39.27930
61300,39.40777
61400,39.53645
61500,39.66533
61600,39.79443
61700,39.92374
61800,40.05326
61900,40.18298
62000,40.31292
62100,40.44307
62200,40.57342
62300,40.70399
62400,40.83476
62500,40.96575
62600,41.09695
62700,41.22835
62800,41.35997
62900,41.49179
63000,41.62382
63100,41.75607
63200,41.88852
63300,42.02119
63400,42.15406
63500,42.28714
63600,42.42043
63700,42.55394
63800,42.68765
63900,42.82157
64000,42.95570
64100,43.09004
64200,43.22459
64300,43.35936
64400,43.49433
64500,43.62951
64600,43.76490
64700,43.90050
64800,44.03631
64900,44.17233
65000,44.30856
65100,44.44499
65200,44.58164
65300,44.71850
65400,44.85557
65500,44.99285
65600,45.13033
65700,45.26803
65800,45.40594
65900,45.54406
66000,45.68238
66100,45.82092
66200,45.95967
66300,46.09862
66400,46.23779
66500,46.37716
66600,46.51675
66700,46.65654
66800,46.79655
66900,46.93676
67000,47.07718
67100,47.21782
67200,47.35866
67300,47.49972
67400,47.64098
67500,47.78245
67600,47.92413
67700,48.06603
67800,48.20813
67900,48.35044
68000,48.49296
68100,48.63569
68200,48.77863
68300,48.92178
68400,49.06514
68500,49.20871
68600,49.35249
68700,49.49648
68800,49.64068
68900,49.78509
69000,49.92971
69100,50.07454
69200,50.21958
69300,50.36483
69400,50.51028
69500,50.65595
69600,50.80183
69700,50.94792
69800,51.09421
69900,51.24072
70000,51.38744
70100,51.53436
70200,51.68150
70300,51.82884
70400,51.97640
70500,52.12416
70600,52.27214
70700,52.42032
70800,52.56872
70900,52.71732
71000,52.86614
71100,53.01516
71200,53.16439
71300,53.31384
71400,53.46349
71500,53.61335
71600,53.76342
71700,53.91371
71800,54.06420
71900,54.21490
72000,54.36581
72100,54.51693
72200,54.66826
72300,54.81980
72400,54.97155
72500,55.12351
72600,55.27568
72700,55.42806
72800,55.58065
72900,55.73345
73000,55.88646
73100,56.03968
73200,56.19311
73300,56.34674
73400,56.50059
73500,56.65465
73600,56.80892
73700,56.96339
73800,57.11808
73900,57.27298
74000,57.42808
74100,57.58340
74200,57.73892
74300,57.89466
74400,58.05060
74500,58.20676
74600,58.36312
74700,58.51970
74800,58.67648
74900,58.83348
75000,58.99068
75100,59.14809
75200,59.30572
75300,59.46355
75400,59.62159
75500,59.77984
75600,59.93831
75700,60.09698
75800,60.25586
75900,60.41495
76000,60.57425
76100,60.73376
76200,60.89348
76300,61.05341
76400,61.21355
76500,61.37390
76600,61.53446
76700,61.69523
76800,61.85621
76900,62.01740
77000,62.17880
77100,62.34041
77200,62.50222
77300,62.66425
77400,62.82649
77500,62.98894
77600,63.15159
77700,63.31446
77800,63.47754
77900,63.64082
78000,63.80432
78100,63.96803
78200,64.13194
78300,64.29607
78400,64.46040
78500,64.62495
78600,64.78970
78700,64.95466
78800,65.11984
78900,65.28522
79000,65.45081
79100,65.61662
79200,65.78263
79300,65.94885
79400,66.11529
79500,66.28193
79600,66.44878
79700,66.61584
79800,66.78311
79900,66.95059
80000,67.11828
80100,67.28619
80200,67.45430
80300,67.62262
80400,67.79115
80500,67.95989
80600,68.12883
80700,68.29799
80800,68.46736
80900,68.63694
81000,68.80673
81100,68.97673
81200,69.14693
81300,69.31735
81400,69.48798
81500,69.65882
81600,69.82986
81700,70.00112
81800,70.17259
81900,70.34426
82000,70.51615
82100,70.68824
82200,70.86055
82300,71.03306
82400,71.20579
82500,71.37872
82600,71.55187
82700,71.72522
82800,71.89878
82900,72.07256
83000,72.24654
83100,72.42073
83200,72.59514
83300,72.76975
83400,72.94457
83500,73.11960
83600,73.29484
83700,73.47030
83800,73.64596
83900,73.82183
84000,73.99791
84100,74.17420
84200,74.35070
84300,74.52741
84400,74.70433
84500,74.88146
84600,75.05880
84700,75.23635
84800,75.41410
84900,75.59207
85000,75.77025
85100,75.94864
85200,76.12724
85300,76.30604
85400,76.48506
85500,76.66429
85600,76.84372
85700,77.02337
85800,77.20323
85900,77.38329
86000,77.56357
86100,77.74405
86200,77.92475
86300,78.10565
86400,78.28677
86500,78.46809
86600,78.64963
86700,78.83137
86800,79.01332
86900,79.19549
87000,79.37786
87100,79.56044
87200,79.74323
87300,79.92624
87400,80.10945
87500,80.29287
87600,80.47650
87700,80.66034
87800,80.84439
87900,81.02865
88000,81.21312
88100,81.39780
88200,81.58269
88300,81.76779
88400,81.95310
88500,82.13862
88600,82.32435
88700,82.51029
88800,82.69644
88900,82.88280
89000,83.06936
89100,83.25614
89200,83.44313
89300,83.63033
89400,83.81773
89500,84.00535
89600,84.19318
89700,84.38121
89800,84.56946
89900,84.75791
90000,84.94658
90100,85.13545
90200,85.32454
90300,85.51383
90400,85.70334
90500,85.89305
90600,86.08298
90700,86.27311
90800,86.46345
90900,86.65401
91000,86.84477
91100,87.03574
91200,87.22692
91300,87.41831
91400,87.60992
91500,87.80173
91600,87.99375
91700,88.18598
91800,88.37842
91900,88.57107
92000,88.76393
92100,88.95700
92200,89.15028
92300,89.34377
92400,89.53747
92500,89.73138
92600,89.92550
92700,90.11983
92800,90.31436
92900,90.50911
93000,90.70407
93100,90.89924
93200,91.09461
93300,91.29020
93400,91.48600
93500,91.68200
93600,91.87822
93700,92.07465
93800,92.27128
93900,92.46813
94000,92.66518
94100,92.86245
94200,93.05992
94300,93.25761
94400,93.45550
94500,93.65360
94600,93.85192
94700,94.05044
94800,94.24917
94900,94.44812
95000,94.64727
95100,94.84663
95200,95.04620
95300,95.24598
95400,95.44598
95500,95.64618
95600,95.84659
95700,96.04721
95800,96.24804
95900,96.44908
96000,96.65033
96100,96.85179
96200,97.05346
96300,97.25534
96400,97.45743
96500,97.65973
96600,97.86223
96700,98.06495
96800,98.26788
96900,98.47102
97000,98.67437
97100,98.87792
97200,99.08169
97300,99.28567
97400,99.48985
97500,99.69425
97600,99.89886
97700,100.10367
97800,100.30870
97900,100.51393
98000,100.71938
98100,100.92503
98200,101.13090
98300,101.33697
98400,101.54325
98500,101.74975
98600,101.95645
98700,102.16336
98800,102.37049
98900,102.57782
99000,102.78536
99100,102.99311
99200,103.20107
99300,103.40925
99400,103.61763
99500,103.82622
99600,104.03502
99700,104.24403
99800,104.45325
99900,104.66268
100000,104.87232
